Pupil diameter (mm), Image, Time
0,,0.5327756
0,,1.046309
0,HappySP1,1.552828
0,HappySP1,2.057666
0,HappySP1,2.568083
0,Neutral1,3.087796
0,Neutral1,3.60268
0,Neutral1,4.113061
0,Neutral1,4.62712
0,HappyLP1,5.141662
0,HappyLP1,5.655379
0,HappyLP1,6.169137
0,Neutral1,6.681904
0,Neutral1,7.192164
0,Neutral1,7.708811
0,SadSP1,8.219729
0,SadSP1,8.731362
0,SadSP1,9.24649
0,SadSP1,9.757189
0,Neutral1,10.2691
0,Neutral1,10.78292
0,Neutral1,11.29428
0,SadLP1,11.80492
0,SadLP1,12.32087
0,SadLP1,12.83303
0,SadLP1,13.34932
0,Neutral1,13.86442
0,Neutral1,14.37508
0,Neutral1,14.88774
0,HappyLP2,15.40197
0,HappyLP2,15.91159
0,HappyLP2,16.42347
0,HappyLP2,16.93686
0,Neutral2,17.44829
0,Neutral2,17.96277
0,Neutral2,18.47744
0,HappySP2,18.98705
0,HappySP2,19.49796
0,HappySP2,20.01359
0,Neutral2,20.52356
0,Neutral2,21.03551
0,Neutral2,21.54017
0,Neutral2,22.05166
0,SadLP2,22.5614
0,SadLP2,23.07533
0,SadLP2,23.58974
0,Neutral2,24.10398
0,Neutral2,24.61945
0,Neutral2,25.12005
0,Neutral2,25.6294
0,SadSP2,26.15925
0,SadSP2,26.67053
0,SadSP2,27.1809
0,Neutral2,27.71239
0,Neutral2,28.21336
0,Neutral2,28.71432
0,Neutral2,29.25083
0,HappyLP3,29.76227
0,HappyLP3,30.2722
0,HappyLP3,30.78656
0,Neutral3,31.29573
0,Neutral3,31.80736
0,Neutral3,32.32441
0,Neutral3,32.83757
0,HappySP3,33.35168
0,HappySP3,33.86947
0,HappySP3,34.38143
0,Neutral3,34.89268
0,Neutral3,35.40709
0,Neutral3,35.91784
0,SadLP3,36.42749
0,SadLP3,36.93378
0,SadLP3,37.45094
0,SadLP3,37.96553
0,Neutral3,38.47473
0,Neutral3,38.97615
0,Neutral3,39.48988
0,SadSP3,39.99884
0,SadSP3,40.53257
0,SadSP3,41.04617
0,SadSP3,41.55581
0,Neutral3,42.08847
0,Neutral3,42.59942
0,Neutral3,43.11503
0,HappyLP4,43.62947
0,HappyLP4,44.14378
0,HappyLP4,44.6595
0,HappyLP4,45.17688
0,Neutral4,45.68828
0,Neutral4,46.19841
0,Neutral4,46.71427
0,HappySP4,47.22596
0,HappySP4,47.73485
0,HappySP4,48.25063
0,Neutral4,48.76252
0,Neutral4,49.27249
0,Neutral4,49.78685
0,Neutral4,50.29888
0,SadLP4,50.80869
0,SadLP4,51.3424
0,SadLP4,51.8531
0,Neutral4,52.36435
0,Neutral4,52.89813
0,Neutral4,53.40758
0,Neutral4,53.91967
0,SadSP4,54.43251
0,SadSP4,54.94314
0,SadSP4,55.45375
0,Neutral4,55.96693
0,Neutral4,56.4758
0,Neutral4,56.98668
0,Neutral4,57.50181
0,HappyLP5,58.01524
0,HappyLP5,58.52863
0,HappyLP5,59.04126
0,Neutral5,59.55298
0,Neutral5,60.06226
0,Neutral5,60.57383
0,HappySP5,61.08842
0,HappySP5,61.59914
0,HappySP5,62.11158
0,HappySP5,62.62609
0,Neutral5,63.14029
0,Neutral5,63.65058
0,Neutral5,64.1684
0,SadLP5,64.67938
0,SadLP5,65.19106
0,SadLP5,65.7209
0,SadLP5,66.23259
0,Neutral5,66.74197
0,Neutral5,67.25759
0,Neutral5,67.76003
0,SadSP5,68.2729
0,SadSP5,68.8028
0,SadSP5,69.31297
0,SadSP5,69.82482
0,Neutral5,70.33743
0,Neutral5,70.84748
0,Neutral5,71.34853
0,HappyLP6,71.87957
0,HappyLP6,72.39038
0,HappyLP6,72.90055
0,Neutral6,73.43535
0,Neutral6,73.94738
0,Neutral6,74.45924
0,Neutral6,74.97422
0,HappySP6,75.48659
0,HappySP6,75.99625
0,HappySP6,76.52534
0,Neutral6,77.03503
0,Neutral6,77.54565
0,Neutral6,78.06187
0,Neutral6,78.57272
0,SadLP6,79.08768
0,SadLP6,79.60155
0,SadLP6,80.1127
0,Neutral6,80.62312
0,Neutral6,81.14301
0,Neutral6,81.655
0,Neutral6,82.16404
0,SadSP6,82.67892
0,SadSP6,83.19028
0,SadSP6,83.69518
0,Neutral6,84.20637
0,Neutral6,84.70869
0,Neutral6,85.21979
0,Neutral6,85.73195
0,HappyLP7,86.24603
0,HappyLP7,86.7584
0,HappyLP7,87.27023
0,Neutral7,87.78548
0,Neutral7,88.29772
0,Neutral7,88.80748
